TICKER;PRECO;DY;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO
CJCT11;68,00;0,00;1,01;80.400,50;0,43;;13,92;181.831.004,55;1.480,00;Passiva;
HBRH11;86,35;9,06;0,79;585.344,50;2,55;;;245.406.657,81;1.582,00;Ativa;
MXRF11;9,99;9,11;1,00;5.275.959,95;10,92;1,90;0,44;2.259.193.467,62;456.085,00;Ativa;
CXRI11;70,78;10,17;0,79;25.793,80;0,81;-9,95;-58,37;140.507.437,21;2.951,00;Ativa;
HAAA11;92,97;6,87;0,97;13.148,71;0,41;;;329.467.244,04;130,00;Ativa;
TCIN11;110,99;0,00;0,78;108,00;1,44;;;117.537.164,83;125,00;Ativa;
CEOC11;59,00;9,09;0,68;39.542,15;2,11;-6,92;-9,08;156.599.916,44;6.314,00;Passiva;
FCFL11;101,50;7,49;1,00;213.556,50;0,45;2,21;0,67;352.488.694,23;4.403,00;Passiva;
VLJS11;1.141,14;4,80;1,49;;3,20;;;45.025.251,31;12,00;Passiva;
JFLL11;72,88;7,74;0,75;103.132,15;1,95;;;145.160.606,78;1.822,00;Ativa;
DLMT11;0,00;0,00;;;35,93;;;13.757.099,69;9,00;Ativa;
HFOF11;81,28;8,81;0,92;2.030.010,85;1,88;-10,92;-2,80;2.027.157.670,49;66.171,00;Ativa;
FPAB11;198,60;7,93;0,44;30.588,70;1,11;-10,94;-14,07;336.019.966,32;962,00;Passiva;
BBIM11;0,00;0,00;;;3,03;-6,33;;51.888.907,55;20,00;Ativa;
RDPD11;66,50;8,57;0,94;34.685,50;6,08;2,63;;76.147.024,14;826,00;Ativa;
BBFI11B;2.241,00;14,05;0,89;477.164,50;8,59;1,70;6,60;329.132.320,59;8.223,00;Passiva;
BZLI11;17,00;0,00;1,54;131.351,10;0,06;;7,67;431.455.425,43;323,00;Ativa;
BRIM11;1.012,58;0,00;1,04;130.622,00;2,17;;;121.056.329,33;196,00;Ativa;
BRCR11;66,87;8,46;0,62;2.438.544,40;0,89;-28,26;-13,10;2.857.507.812,90;130.124,00;Ativa;
HCST11;93,00;0,00;0,88;372,00;9,52;;;30.203.615,72;84,00;Ativa;
BLMG11;95,10;7,23;0,93;713.460,50;2,28;;;388.041.454,59;4.201,00;Ativa;
REIT11;820,00;10,19;1,55;1.635,00;122,53;;;13.953.711,63;61,00;Ativa;
VIUR11;80,12;4,16;0,84;260.456,00;15,53;;;258.342.180,74;3.613,00;Ativa;
RBCO11;51,98;10,23;0,52;222.403,90;3,89;;;379.891.174,90;4.745,00;Ativa;
BLMR11;7,47;6,56;0,85;582.818,10;6,05;;;225.460.215,74;4.544,00;Ativa;
RECR11;100,09;14,48;1,05;9.568.109,50;1,38;15,13;-1,01;1.844.612.969,83;118.380,00;Ativa;
PATL11;65,56;10,28;0,69;857.615,85;1,07;;;477.033.893,01;12.402,00;Ativa;
XPPR11;63,79;9,80;0,76;1.099.464,50;3,56;;;614.465.035,45;47.968,00;Ativa;
GCFF11;75,60;13,10;0,84;75.808,45;6,41;;;30.529.859,81;1.671,00;Ativa;
BLMC11;97,21;5,67;0,97;1.093,31;3,94;;;39.999.083,35;64,00;Ativa;
TORD11;10,65;13,14;0,81;1.687.668,90;1,18;;;461.396.367,48;83.404,00;Ativa;
HRDF11;1,40;0,00;1,13;1.594,00;72,02;;;9.398.483,52;1.444,00;Ativa;
RBRR11;98,00;8,68;0,98;2.748.576,45;10,24;3,95;-1,18;1.033.899.951,56;78.714,00;Ativa;
PABY11;12,18;0,00;;555,55;;;-15,38;-7.370.513,66;441,00;Passiva;
BTSI11;0,00;0,00;;;0,20;;;36.662.546,63;52,00;Ativa;
VINO11;59,04;9,65;1,00;1.993.785,20;4,91;;;745.451.696,93;91.507,00;Ativa;
ESTQ11;0,00;0,00;;;23,98;;;17.703.961,90;5,00;Ativa;
VJFD11;0,00;0,00;;;1,04;;;512.233.057,57;97,00;Ativa;
LUGG11;88,10;6,80;0,71;20.481,50;0,63;;;112.254.414,79;4.296,00;Ativa;
TEPP11;72,36;7,64;0,77;365.041,25;0,28;;;397.945.745,92;7.998,00;Ativa;
BBFO11;72,20;7,35;0,82;133.812,15;1,50;;;351.715.198,65;3.888,00;Passiva;
RBVO11;15,96;3,16;0,74;12.430,60;4,80;-46,39;-35,36;11.110.248,40;2.120,00;--;
CCRF11;107,99;1,81;1,07;2.737,33;25,16;;;157.940.681,91;23,00;Ativa;
CARE11;0,50;1,96;0,31;127.362,40;0,73;;-34,14;285.663.790,78;12.421,00;Ativa;
ARFI11B;479,99;0,00;1,26;;2,10;;;43.314.145,40;28,00;Ativa;
ERPA11;130,00;0,00;1,22;130,00;0,01;;;53.024.941,66;12,00;Passiva;
ONEF11;144,95;5,55;0,90;122.053,70;1,06;-1,41;5,12;146.356.151,50;4.078,00;Passiva;
